0,TAMIL_SECTION,TAMIL_SUBDIVISION,TAMIL_CHAPTERS,TAMIL_VERSE,TAMIL_VERSE_SEGMENT_001,TAMIL_VERSE_SEGMENT_002,TAMIL_EXPLANATION,ENGLISH_SECTION,ENGLISH_SUBDIVISION,ENGLISH_CHAPTERS,ENGLISH_VERSE,ENGLISH_VERSE_SEGMENT_001,ENGLISH_VERSE_SEGMENT_002,ENGLISH_EXPLANATION
1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு,,,எழுத்துக்கள் எல்லாம் அகரத்தை அடிப்படையாக கொண்டிருக்கின்றன. அதுபோல உலகம் கடவுளை அடிப்படையாக கொண்டிருக்கிறது.,VIRTUE,Introduction,The Praise of God,A is the first of the alphabet;God is the primary force of the world,,,"A, as its first of letters, every speech maintains;The ""Primal Deity"" is first through all the world's domains.As the letter A is the first of all letters, so the eternal God is first in the world."
2,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்,,,"தூய அறிவு வடிவாக விளங்கும் இறைவனுடைய நல்ல திருவடிகளை தொழாமல் இருப்பாரானால், அவர் கற்ற கல்வியினால் ஆகிய பயன் என்ன?",VIRTUE,Introduction,The Praise of God,"What is the use of all your learning,if you can’t surrender yourself at the feet of God.",,,"No fruit have men of all their studied lore,Save they the 'Purely Wise One's' feet adore.What Profit have those derived from learning,who worship not the good feet of Him who is possessed of pure knowledge ?"
3,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்,,,"அன்பரின் அகமாகிய மலரில் வீற்றிருக்கும் கடவுளின் சிறந்த திருவடிகளை பொருந்தி நினைக்கின்றவர், இன்ப உலகில் நிலைத்து வாழ்வார்",VIRTUE,Introduction,The Praise of God,"Those who surrender themselves at feet of the one,who resides in the flower-like hearts of all, will live long and well.",,,"His feet, 'Who o'er the full-blown flower hath past,' who gain In bliss long time shall dwell above this earthly plain.They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds."
4,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,வேண்டுதல்வேண் டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல,,,விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை பொருந்தி நினைக்கின்றவர்க்கு எப்போதும் எவ்விடத்திலும் துன்பம் இல்லை,VIRTUE,Introduction,The Praise of God,"Those who surrender at the feet of the one,who doesn’t have wants or hates, will never have any hassles anywhere.",,,"His foot, 'Whom want affects not, irks not grief,' who gain Shall not, through every time, of any woes complain.To those who meditate the feet of Him who is void of desire or aversion, evil shall never come."
5,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு,,,கடவுளின் உண்மைப் புகழை விரும்பி அன்பு செலுத்துகின்றவரிடம் அறியாமையால் விளையும் இருவகை வினையும் சேர்வதில்லை,VIRTUE,Introduction,The Praise of God,"Fate, which impacts those in the darkness of ignorance,will not impede those who hail the true glory of God.",,,"The men, who on the 'King's' true praised delight to dwell,Affects not them the fruit of deeds done ill or well.The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God."
6,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்,,,"ஐம்பொறி வாயிலாக பிறக்கும் வேட்கைகளை அவித்த இறைவனுடைய பொய்யற்ற ஒழுக்க நெறியில் நின்றவர், நிலை பெற்ற நல்வாழ்க்கை வாழ்வர்",VIRTUE,Introduction,The Praise of God,"Those who follow the true moral path of the one,who has doused the desires of the five senses, will last long.",,,"Long live they blest, who 've stood in path from falsehood freed;His, 'Who quenched lusts that from the sense gates five proceed'.Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses."
7,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது,,,"தனக்கு ஒப்புமை இல்லாத தலைவனுடைய திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர்க்கு மனக்கவலையை மாற்ற முடியாது",VIRTUE,Introduction,The Praise of God,"Except for those who surrender at the feet of the one, for whom,there is no simile, it is tough to cure the mental rues.",,,"Unless His foot, 'to Whom none can compare,' men gain,'Tis hard for mind to find relief from anxious pain.
 Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable."
8,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது,,,"அறக்கடலாக விளங்கும் கடவுளின் திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர் பொருளும் இன்பமுமாகிய மற்ற கடல்களைக் கடக்க முடியாது",VIRTUE,Introduction,The Praise of God,"Except those who surrender at the feet of God, the ocean of morality,others will struggle to cross the ocean of desire.",,,"Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain,'Tis hard the further bank of being's changeful sea to attain.None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue."
9,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை,,,"கேட்காதசெவி, பார்க்காத கண் போன்ற எண் குணங்களை உடைய கடவுளின் திருவடிகளை வணங்காதவரின் தலைகள் பயனற்றவைகளாம்",VIRTUE,Introduction,The Praise of God,"The head that doesn’t bow to God, is similarto the organs that don’t have the right senses",,,"Before His foot, 'the Eight-fold Excellence,' with unbent head,Who stands, like palsied sense, is to all living functions dead.The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation."
10,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்,,,இறைவனுடைய திருவடிகளை பொருந்தி நினைக்கின்றவர் பிறவியாகிய பெரிய கடலைக் கடக்க முடியும். மற்றவர் கடக்க முடியாது,VIRTUE,Introduction,The Praise of God,"Those who surrender at the feet of God,will cross the great ocean of life; others won’t.",,,"They swim the sea of births, the 'Monarch's ' foot who gain;None others reach the shore of being's mighty main.None can swim the great sea of births but those who are united to the feet of God."
